dataset_key,column_position,column_name,pandas_dtype,row_count,nonmissing_count,missing_count,blank_string_count,effective_missing_count,effective_missing_percentage,unique_nonmissing_count,mode_count_nonmissing,mode_share_nonmissing,is_constant_nonmissing,is_near_constant_nonmissing,is_categorical,categorical_cardinality,numeric_minimum,numeric_maximum
inx_primary,1,EmpNumber,str,1200,1200,0,0,0,0.0,1200,1,0.0008333333333333334,False,False,True,1200.0,,
inx_primary,2,Age,int64,1200,1200,0,0,0,0.0,43,71,0.059166666666666666,False,False,False,,18.0,60.0
inx_primary,3,Gender,str,1200,1200,0,0,0,0.0,2,725,0.6041666666666666,False,False,True,2.0,,
inx_primary,4,EducationBackground,str,1200,1200,0,0,0,0.0,6,492,0.41,False,False,True,6.0,,
inx_primary,5,MaritalStatus,str,1200,1200,0,0,0,0.0,3,548,0.45666666666666667,False,False,True,3.0,,
inx_primary,6,EmpDepartment,str,1200,1200,0,0,0,0.0,6,373,0.31083333333333335,False,False,True,6.0,,
inx_primary,7,EmpJobRole,str,1200,1200,0,0,0,0.0,19,270,0.225,False,False,True,19.0,,
inx_primary,8,BusinessTravelFrequency,str,1200,1200,0,0,0,0.0,3,846,0.705,False,False,True,3.0,,
inx_primary,9,DistanceFromHome,int64,1200,1200,0,0,0,0.0,29,184,0.15333333333333332,False,False,False,,1.0,29.0
inx_primary,10,EmpEducationLevel,int64,1200,1200,0,0,0,0.0,5,449,0.37416666666666665,False,False,False,,1.0,5.0
inx_primary,11,EmpEnvironmentSatisfaction,int64,1200,1200,0,0,0,0.0,4,367,0.30583333333333335,False,False,False,,1.0,4.0
inx_primary,12,EmpHourlyRate,int64,1200,1200,0,0,0,0.0,71,25,0.020833333333333332,False,False,False,,30.0,100.0
inx_primary,13,EmpJobInvolvement,int64,1200,1200,0,0,0,0.0,4,724,0.6033333333333334,False,False,False,,1.0,4.0
inx_primary,14,EmpJobLevel,int64,1200,1200,0,0,0,0.0,5,441,0.3675,False,False,False,,1.0,5.0
inx_primary,15,EmpJobSatisfaction,int64,1200,1200,0,0,0,0.0,4,378,0.315,False,False,False,,1.0,4.0
inx_primary,16,NumCompaniesWorked,int64,1200,1200,0,0,0,0.0,10,433,0.36083333333333334,False,False,False,,0.0,9.0
inx_primary,17,OverTime,str,1200,1200,0,0,0,0.0,2,847,0.7058333333333333,False,False,True,2.0,,
inx_primary,18,EmpLastSalaryHikePercent,int64,1200,1200,0,0,0,0.0,15,172,0.14333333333333334,False,False,False,,11.0,25.0
inx_primary,19,EmpRelationshipSatisfaction,int64,1200,1200,0,0,0,0.0,4,379,0.31583333333333335,False,False,False,,1.0,4.0
inx_primary,20,TotalWorkExperienceInYears,int64,1200,1200,0,0,0,0.0,40,159,0.1325,False,False,False,,0.0,40.0
inx_primary,21,TrainingTimesLastYear,int64,1200,1200,0,0,0,0.0,7,445,0.37083333333333335,False,False,False,,0.0,6.0
inx_primary,22,EmpWorkLifeBalance,int64,1200,1200,0,0,0,0.0,4,727,0.6058333333333333,False,False,False,,1.0,4.0
