run_id,config_hash,artifact_path,sha256,size_bytes
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,cross_dataset_transport/feature_overlap.csv,48434c31fc47fa658e16d089ec3866f36233af6794e2aedf1e99e90fd36d3ed9,5237
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,cross_dataset_transport/transport_feasibility.json,27060068d1192dc117b79065e1578baf68046982f23cedacd3a9914e8f0e4e2b,686
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,cross_dataset_transport/transport_feasibility.md,d36d2d65b6dadb1b3bc539de86b12427804b7b24921ec19d5d1bdf591416109e,447
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/actionability_summary.csv,7f48967126b8479e215c7d6ba0eddc2570b920ccffb3444bca6a408053f15a45,821
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/experiment_metadata.json,2d50009339e6dd578f4df94e9f4164d3c9c370907a7ff0b3b7b2181700996b19,1995
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/feature_policy_audit.csv,a8bbdf3a1fa403fce44f5fd0b82994c4160f6a58d236bdf9d8b0f1e788ad2ddf,981
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/fold_metrics.csv,ec015f6279bdf6a39ea985b0a197c50dfd5b7b3824fc074faf423b521446a59c,10856
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/model_predictions.csv,8e27a566f58a5f044a3f49ac6cef3bf3fb41ae45a1c2e32f305c8bfe8fd7d737,9700232
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/performance_metrics.csv,cc11a7ba7d2481b2861b1e389dcadbf546ca2730ef2ea6036a9f20d3b1c0b1d2,5491
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,employee_turnover/representative_cases.csv,6c9b08f4b2c55740b9c59b92fdbf5a934d4c7a097d5db854ecec0c946ff40c7b,2921
