feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpJobRole,Sales Representative,0.46923500299453735,0.46923500299453735,positive
EducationBackground,Marketing,0.41949978470802307,0.41949978470802307,positive
YearsSinceLastPromotion,0,0.3233237564563751,0.3233237564563751,positive
ExperienceYearsInCurrentRole,0,0.27177438139915466,0.27177438139915466,positive
TotalWorkExperienceInYears,1,-0.1689964234828949,0.1689964234828949,negative
EmpEnvironmentSatisfaction,3,0.12554600834846497,0.12554600834846497,positive
BusinessTravelFrequency,Travel_Rarely,0.11474558711051941,0.11474558711051941,positive
EmpRelationshipSatisfaction,3,-0.10953305661678314,0.10953305661678314,negative
OverTime,Yes,0.08885432034730911,0.08885432034730911,positive
EmpHourlyRate,36,0.0760713666677475,0.0760713666677475,positive
EmpJobSatisfaction,2,0.07330244779586792,0.07330244779586792,positive
YearsWithCurrManager,0,0.06391243636608124,0.06391243636608124,positive
DistanceFromHome,19,0.06304821372032166,0.06304821372032166,positive
Age,25,0.05811335891485214,0.05811335891485214,positive
ExperienceYearsAtThisCompany,1,-0.04554110765457153,0.04554110765457153,negative
TrainingTimesLastYear,2,0.024553263559937477,0.024553263559937477,positive
EmpJobLevel,1,0.01302535180002451,0.01302535180002451,positive
EmpJobInvolvement,2,0.010918037965893745,0.010918037965893745,positive
EmpEducationLevel,2,0.006807398516684771,0.006807398516684771,positive
EmpWorkLifeBalance,3,0.006457855459302664,0.006457855459302664,positive
NumCompaniesWorked,1,0.004612664692103863,0.004612664692103863,positive
