feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,0.36322538517415526
YearsSinceLastPromotion,0.2721647719619796
EmpJobRole,0.2021507541144577
ExperienceYearsInCurrentRole,0.16552196012805023
EmpHourlyRate,0.12458113729371689
YearsWithCurrManager,0.11336345595312498
Age,0.11170959599464064
BusinessTravelFrequency,0.0903185039681072
EmpJobSatisfaction,0.08938687636109535
TotalWorkExperienceInYears,0.08848439103021519
EducationBackground,0.07709783685859292
ExperienceYearsAtThisCompany,0.07029344387653207
DistanceFromHome,0.06290498257634075
EmpRelationshipSatisfaction,0.05501823805728539
OverTime,0.049611168044308825
NumCompaniesWorked,0.04476204366025437
EmpEducationLevel,0.03792092392056171
TrainingTimesLastYear,0.031213104850454934
EmpJobLevel,0.020157433413047935
EmpWorkLifeBalance,0.019479332280995246
EmpJobInvolvement,0.01770035411270025
