feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpEnvironmentSatisfaction,1,1.71826171875,1.71826171875,positive
YearsSinceLastPromotion,9,0.6144664287567139,0.6144664287567139,positive
EmpJobRole,Sales Executive,0.4599297344684601,0.4599297344684601,positive
EmpJobLevel,3,0.273281991481781,0.273281991481781,positive
YearsWithCurrManager,9,0.25136926770210266,0.25136926770210266,positive
TrainingTimesLastYear,5,0.1408088207244873,0.1408088207244873,positive
EmpHourlyRate,31,0.14016731083393097,0.14016731083393097,positive
ExperienceYearsInCurrentRole,7,0.13561967015266418,0.13561967015266418,positive
ExperienceYearsAtThisCompany,13,0.13255298137664795,0.13255298137664795,positive
EmpWorkLifeBalance,3,-0.11050701886415482,0.11050701886415482,negative
EmpEducationLevel,2,-0.07029031962156296,0.07029031962156296,negative
Age,31,0.05629454925656319,0.05629454925656319,positive
TotalWorkExperienceInYears,13,-0.05529695749282837,0.05529695749282837,negative
EmpJobSatisfaction,4,0.048621781170368195,0.048621781170368195,positive
EducationBackground,Life Sciences,-0.02942846342921257,0.02942846342921257,negative
DistanceFromHome,8,-0.025817271322011948,0.025817271322011948,negative
EmpJobInvolvement,3,0.015862926840782166,0.015862926840782166,positive
NumCompaniesWorked,1,-0.013024822808802128,0.013024822808802128,negative
EmpRelationshipSatisfaction,1,0.012800830416381359,0.012800830416381359,positive
BusinessTravelFrequency,Travel_Rarely,-0.0031933526042848825,0.0031933526042848825,negative
OverTime,No,0.002830111887305975,0.002830111887305975,positive
