feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,2.3473088910182316
YearsSinceLastPromotion,1.0128322495147586
EmpJobRole,0.4550098900993665
EmpWorkLifeBalance,0.43660996938124297
ExperienceYearsInCurrentRole,0.3035001510754228
YearsWithCurrManager,0.21013063978947077
TotalWorkExperienceInYears,0.1552047367207706
EmpHourlyRate,0.12493887316274292
EmpJobLevel,0.11034107012674213
DistanceFromHome,0.10928636958706192
NumCompaniesWorked,0.07449087148318843
EducationBackground,0.059885053096028665
EmpRelationshipSatisfaction,0.05228183888539206
EmpJobSatisfaction,0.04925409784167035
ExperienceYearsAtThisCompany,0.04826886172425778
TrainingTimesLastYear,0.042898641843930815
Age,0.03824204943230143
EmpEducationLevel,0.03107118322404858
EmpJobInvolvement,0.02221446638262326
BusinessTravelFrequency,0.01459686331351501
OverTime,0.00587892711640355
