feature_set,case_type,sample_index,true_class,predicted_class,desired_class,eligible_for_upward_shift,confidence,intervention_mode,n_allowed_features,valid,probability_gain,desired_probability,cost,num_changed_features,changed_features,changed_control_types,failed_reason
no_salary_hike_no_attrition,correct_class_2,405,2,2,3,True,0.9893275782669178,employee_only,3,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_2,405,2,2,3,True,0.9893275782669178,employee_manager,8,True,0.8381580323051964,0.8468625952259616,3.042211732282211,2,EmpJobSatisfaction; EmpEnvironmentSatisfaction,manager_controllable; manager_controllable,
no_salary_hike_no_attrition,correct_class_2,405,2,2,3,True,0.9893275782669178,organization_allowed,16,True,0.5245232910543166,0.5332278539750819,1.79477266751429,2,EmpHourlyRate; EmpDepartment,organisation_controllable; organisation_controllable,
no_salary_hike_no_attrition,correct_class_2,405,2,2,3,True,0.9893275782669178,full_default,21,True,0.6915826830232972,0.7002872459440624,2.3,2,EmpDepartment; EmpJobRole,organisation_controllable; organisation_controllable,
no_salary_hike_no_attrition,correct_class_2,405,2,2,3,True,0.9893275782669178,no_salary,21,True,0.6915826830232972,0.7002872459440624,2.3,2,EmpDepartment; EmpJobRole,organisation_controllable; organisation_controllable,
no_salary_hike_no_attrition,correct_class_3,376,3,3,4,True,0.9950544326076799,employee_only,3,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_3,376,3,3,4,True,0.9950544326076799,employee_manager,8,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_3,376,3,3,4,True,0.9950544326076799,organization_allowed,16,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_3,376,3,3,4,True,0.9950544326076799,full_default,21,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_3,376,3,3,4,True,0.9950544326076799,no_salary,21,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,correct_class_4,568,4,4,4,False,0.9001516456674805,employee_only,3,False,,,,0,,,already_predicted_highest_class
no_salary_hike_no_attrition,correct_class_4,568,4,4,4,False,0.9001516456674805,employee_manager,8,False,,,,0,,,already_predicted_highest_class
no_salary_hike_no_attrition,correct_class_4,568,4,4,4,False,0.9001516456674805,organization_allowed,16,False,,,,0,,,already_predicted_highest_class
no_salary_hike_no_attrition,correct_class_4,568,4,4,4,False,0.9001516456674805,full_default,21,False,,,,0,,,already_predicted_highest_class
no_salary_hike_no_attrition,correct_class_4,568,4,4,4,False,0.9001516456674805,no_salary,21,False,,,,0,,,already_predicted_highest_class
no_salary_hike_no_attrition,misclassified_high_confidence,18,4,3,4,True,0.8396097719763616,employee_only,3,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,misclassified_high_confidence,18,4,3,4,True,0.8396097719763616,employee_manager,8,False,,,,0,,,no_candidate_reached_desired_class
no_salary_hike_no_attrition,misclassified_high_confidence,18,4,3,4,True,0.8396097719763616,organization_allowed,16,True,0.3520765383998491,0.5111647235176499,1.4385869370123765,3,YearsWithCurrManager; YearsSinceLastPromotion; EmpHourlyRate,organisation_controllable; organisation_controllable; organisation_controllable,
no_salary_hike_no_attrition,misclassified_high_confidence,18,4,3,4,True,0.8396097719763616,full_default,21,True,0.34334929365970035,0.5024374787775011,1.2885143921518947,3,ExperienceYearsAtThisCompany; YearsWithCurrManager; EmpHourlyRate,immutable; organisation_controllable; organisation_controllable,
