feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,1,5.865534635860514,5.865534635860514,positive
YearsSinceLastPromotion,9,2.5164510824592825,2.5164510824592825,positive
ExperienceYearsInCurrentRole,7,1.0757196748179867,1.0757196748179867,positive
EmpHourlyRate,31,0.5790015030675322,0.5790015030675322,positive
EmpJobRole,Sales Executive,0.45673498711902105,0.45673498711902105,positive
YearsWithCurrManager,9,0.388918992776537,0.388918992776537,positive
ExperienceYearsAtThisCompany,13,0.3755503945873171,0.3755503945873171,positive
EmpJobLevel,3,0.3472260058772965,0.3472260058772965,positive
TrainingTimesLastYear,5,0.3451859711941733,0.3451859711941733,positive
EmpDepartment,Sales,0.29872842872310157,0.29872842872310157,positive
EmpJobSatisfaction,4,0.09140650382981548,0.09140650382981548,positive
TotalWorkExperienceInYears,13,-0.0910509756441083,0.0910509756441083,negative
EmpWorkLifeBalance,3,-0.08663366993781545,0.08663366993781545,negative
DistanceFromHome,8,-0.07584349437209671,0.07584349437209671,negative
Age,31,-0.07481050885001345,0.07481050885001345,negative
EmpRelationshipSatisfaction,1,0.042577112900326355,0.042577112900326355,positive
EmpJobInvolvement,3,0.03833998585720562,0.03833998585720562,positive
BusinessTravelFrequency,Travel_Rarely,-0.034380517572087,0.034380517572087,negative
EmpEducationLevel,2,0.024246369630886465,0.024246369630886465,positive
NumCompaniesWorked,1,0.017559294623835025,0.017559294623835025,positive
OverTime,No,0.011844595315772411,0.011844595315772411,positive
EducationBackground,Life Sciences,0.0,0.0,positive
