feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,2.329630292703708
YearsSinceLastPromotion,1.017526082818707
EmpDepartment,0.4510688764664034
EmpWorkLifeBalance,0.4478985640918836
ExperienceYearsInCurrentRole,0.3661329797740715
YearsWithCurrManager,0.20174404210411012
TotalWorkExperienceInYears,0.15789429158127558
EmpHourlyRate,0.13546144209782748
DistanceFromHome,0.12523846480471548
EmpJobRole,0.11847870080479576
EmpJobLevel,0.11586311601422494
NumCompaniesWorked,0.09864115722108788
EmpRelationshipSatisfaction,0.06858061787400706
Age,0.06596889361486925
EmpJobSatisfaction,0.051548321478670306
ExperienceYearsAtThisCompany,0.05132457553954737
TrainingTimesLastYear,0.040794576586146526
EducationBackground,0.039923392824130134
BusinessTravelFrequency,0.03991404618427623
EmpEducationLevel,0.02383597388046231
EmpJobInvolvement,0.0219017076316959
OverTime,0.008502825346962102
