feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,0.3719798375464355
YearsSinceLastPromotion,0.3070208022060494
ExperienceYearsInCurrentRole,0.14953297052901082
EmpDepartment,0.14903378928041397
YearsWithCurrManager,0.1293124636945625
EmpJobRole,0.11669392901433942
EmpHourlyRate,0.11362689245870569
BusinessTravelFrequency,0.10543499894168538
ExperienceYearsAtThisCompany,0.09483270971055996
EmpJobSatisfaction,0.08848086011615426
Age,0.08581528724268234
EducationBackground,0.08342295327844719
TotalWorkExperienceInYears,0.07856289906339953
DistanceFromHome,0.06401776291895658
OverTime,0.0496821928032053
EmpRelationshipSatisfaction,0.0485613130464723
NumCompaniesWorked,0.045502808584084654
TrainingTimesLastYear,0.041082107260202366
EmpEducationLevel,0.03267511152444058
EmpJobLevel,0.02321358957403087
EmpWorkLifeBalance,0.02253971360393431
EmpJobInvolvement,0.016605900934761546
