run_id,config_hash,dataset_key,task_type,task_comparison_group,metric,applicable,inapplicable_representation,applicability_note
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,accuracy,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,balanced_accuracy,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,macro_f1,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,weighted_f1,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,macro_precision,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,weighted_precision,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,macro_recall,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,weighted_recall,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,quadratic_weighted_kappa,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,hrdataset_v14,ordinal_multiclass_performance,three_class_ordinal_performance,ordinal_mae,True,,Ordinal and severe-error metrics apply to the ordered 2/3/4 target. Independent replication remains distinct from locked-model transport.
