run_id,config_hash,policy,sample_index,fold,class_label,feature,grouped_shap_value,abs_grouped_shap_value,feature_value,control_type,sensitive_or_proxy,leakage_risk,allowed_for_final_model,governance_notes,case_type,sampling_reason
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,NumCompaniesWorked,0.37895166873931885,0.37895166873931885,0,immutable,possible_proxy,none,True,"Work history can proxy age, opportunity, or labor-market history.",incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,EmpEnvironmentSatisfaction,0.2949776351451874,0.2949776351451874,4,manager_controllable,not_sensitive,medium,True,May be measured near evaluation time; use as decision-support signal with temporality warning.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,EmpHourlyRate,0.2558392286300659,0.2558392286300659,86,organisation_controllable,possible_proxy,low,True,Compensation-related but less directly outcome-proximal than salary hike; audit for proxy risk.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,EmpJobRole,0.2419581562280655,0.2419581562280655,Developer,organisation_controllable,possible_proxy,low,True,May proxy department after EmpDepartment is removed; requires proxy audit.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,YearsWithCurrManager,0.2033659964799881,0.2033659964799881,3,organisation_controllable,possible_proxy,low,True,Manager assignment and tenure can encode organisational structure.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,OverTime,0.19680243730545044,0.19680243730545044,Yes,manager_controllable,possible_proxy,medium,True,May reflect staffing/manager assignment rather than employee choice.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,DistanceFromHome,0.16319675743579865,0.16319675743579865,2,immutable,possible_proxy,none,True,Can proxy socioeconomic or location constraints; audit before final use.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,ExperienceYearsInCurrentRole,0.12097489833831787,0.12097489833831787,2,organisation_controllable,possible_proxy,low,True,Role tenure may reflect staffing and promotion pathways.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,EmpRelationshipSatisfaction,0.10466313362121582,0.10466313362121582,4,manager_controllable,not_sensitive,medium,True,Potentially concurrent survey measure; use non-causal interpretation.,incorrect_high_confidence,incorrect and highest OOF confidence
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,18,7,3,TrainingTimesLastYear,0.06732268631458282,0.06732268631458282,2,employee_controllable,not_sensitive,low,True,Partly employee-controllable but often organisation-mediated.,incorrect_high_confidence,incorrect and highest OOF confidence
