feature_set,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,min_group_support_threshold,source_file
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,accuracy,,0.040700274742828,0.01121089614897,0.1172613125841605,0.0273559257582656,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,false_positive_rate,3.0,0.0854821380607037,0.0275144517142723,0.2649400078678205,0.0640834159164868,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,false_positive_rate,4.0,0.0175438596491228,0.0,0.0483957593872594,0.0129710943738764,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,false_positive_rate,2.0,0.005367339170156,0.0034069322949539,0.0454529094093034,0.010952046862524,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,macro_f1,,0.0186995463841231,0.0053435391971541,0.0676162143556926,0.0159428205569063,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,mean_predicted_probability,3.0,0.0307124083157762,0.0091906737814393,0.0958725043110525,0.0218054422067089,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,mean_predicted_probability,4.0,0.0267644421519323,0.0114157188496697,0.0497740402279847,0.0097216552967956,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,mean_predicted_probability,2.0,0.0057165604288218,0.0059127313508541,0.0835675226921357,0.0210182037119568,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,positive_prediction_rate,3.0,0.0257985257985258,0.0086799062057256,0.1219487024736212,0.0292884897577457,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,positive_prediction_rate,4.0,0.0151515151515151,0.0005367231638418,0.0413223140495867,0.0109935621428713,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,positive_prediction_rate,2.0,0.0106470106470106,0.0064243037597852,0.1041770768220904,0.0254513266594946,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,precision,4.0,0.5,0.0,1.0,0.3978643587640639,487,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,precision,3.0,0.0557395658393978,0.014079285366937,0.1364052698201917,0.0306145694918243,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,precision,2.0,0.0336206896551724,0.020844689070054,0.2076508620689654,0.0489558029442705,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,true_positive_rate,2.0,0.1081081081081081,0.0721749999999999,0.2162162162162162,0.0375877965694182,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,true_positive_rate,3.0,0.0212959083926825,0.0061526746377344,0.0785448513952104,0.0201506111722293,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,true_positive_rate,4.0,0.0120481927710843,0.0,0.0343251894434282,0.0109477968789464,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,accuracy,,0.0487878787878788,0.0277544655671614,0.1698781599511435,0.0377688996489378,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,false_positive_rate,3.0,0.3976744186046511,0.1619034565580618,0.7293313069908811,0.1451630949192367,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,false_positive_rate,2.0,0.0489417989417989,0.0230430522022162,0.1117654707228472,0.0223459189503314,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,false_positive_rate,4.0,0.0113636363636363,0.0,0.0385497835497835,0.009954923183372,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,macro_f1,,0.0523408508702626,0.0304185341198712,0.3120670375465391,0.0655556267291547,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,mean_predicted_probability,2.0,0.1661158805247197,0.098255859645383,0.2382114641728138,0.0370901850677015,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,mean_predicted_probability,3.0,0.149708072376186,0.0903642057838628,0.2148318600787376,0.033101915271988,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,mean_predicted_probability,4.0,0.0312015553924975,0.0181849274746677,0.0569026883206783,0.0100984074295369,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
no_salary_hike_no_attrition_no_department,EducationBackground,positive_prediction_rate,3.0,0.2021676620216767,0.1232457877633247,0.2826585666833677,0.0426337025125842,500,30,C:\Users\Yusuf\Documents\GitHub\employee performance with XAI\reports\fairness\feature_set_sensitivity\bootstrap_disparity_ci.csv
